,Instrument,Company Common Name,TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code
100,H24.DE,Home24 SE,Consumer Cyclicals,Retailers,Specialty Retailers,Home Furnishings Retailers,Home Furnishings Retailers (NEC),53,5340,534030,53403030,5340303010
101,II8.SG,Secanda AG,Technology,Software & IT Services,Software & IT Services,Online Services,Internet Security & Transactions Services,57,5720,572010,57201030,5720103015
102,TUFG.F,Libero football finance AG,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010
103,SLHN.S,Swiss Life Holding AG,Financials,Insurance,Insurance,Life & Health Insurance,Life & Health Insurance (NEC),55,5530,553010,55301030,5530103010
104,BVZN.S,BVZ Holding AG,Industrials,Transportation,Passenger Transportation Services,"Passenger Transportation, Ground & Sea",Commuting Services,52,5240,524060,52406020,5240602011
105,ELGG.DE,Elmos Semiconductor SE,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Semiconductors (NEC),57,5710,571010,57101010,5710101010
106,TTKG.DE,Takkt AG,Technology,Technology Equipment,Office Equipment,Office Equipment,Office Equipment Wholesale,57,5710,571050,57105010,5710501015
107,MTVG.DE,Albis Leasing AG,Financials,Banking & Investment Services,Banking Services,Corporate Financial Services,Commercial Leasing,55,5510,551010,55101050,5510105015
108,H2OG.F,Enapter AG,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010
109,KNRS.S,Kinarus Therapeutics Holding AG,Industrials,Transportation,Passenger Transportation Services,Airlines,Charter & Private Air Services,52,5240,524060,52406010,5240601012
110,HELN.S,Helvetia Holding AG,Financials,Insurance,Insurance,Multiline Insurance & Brokers,Multiline Insurance & Brokers (NEC),55,5530,553010,55301010,5530101010
111,EVE.S,Evolva Holding SA,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC),56,5620,562020,56202010,5620201010
112,LEON.S,Leonteq AG,Technology,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech),Financial Technology (Fintech) (NEC),57,5730,573010,57301010,5730101010
113,HBMN.S,HBM Healthcare Investments AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Venture Capital,55,5510,551020,55102020,5510202015
114,991.MU,Vitruvia Medical AG,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,Medical Software & Technology Services,56,5610,561010,56101010,5610101015
115,SBXn.D,SynBiotic SE,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals,Recreational Pharmaceuticals,56,5620,562010,56201040,5620104017
116,S92G.DE,SMA Solar Technology AG,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Semiconductors (NEC),57,5710,571010,57101010,5710101010
117,RLFB.S,Relief Therapeutics Holding SA,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC),56,5620,562020,56202010,5620201010
118,ENR1n.DE,Siemens Energy AG,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Renewable Energy Equipment & Services (NEC),50,5020,502010,50201010,5020101010
119,EING_p.DE,Einhell Germany AG,Consumer Cyclicals,Cyclical Consumer Products,Household Goods,"Appliances, Tools & Housewares","Appliances, Tools & Housewares (NEC)",53,5320,532040,53204030,5320403010
120,TBX0.F,Tick Trading Software AG,Technology,Software & IT Services,Software & IT Services,Software,Application Software,57,5720,572010,57201020,5720102012
121,A7AGn.DE,Finlab AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Venture Capital,55,5510,551020,55102020,5510202015
122,V6CG.DE,Viscom AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Machinery & Equipment (NEC),52,5210,521020,52102010,5210201010
123,PALG.DE,Pantaflix AG,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Entertainment Production,"Movie, TV Production & Distribution",53,5330,533020,53302030,5330203011
124,CYR.DE,Cyan AG,Technology,Software & IT Services,Software & IT Services,Software,Software (NEC),57,5720,572010,57201020,5720102010
125,ACAGr.AT,Austriacard Holdings AG,Technology,Technology Equipment,"Computers, Phones & Household Electronics",Computer Hardware,Storage Devices,57,5710,571060,57106010,5710601017
126,NSAK.D,OTI Greentech AG,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,Environmental Services & Equipment (NEC),52,5220,522030,52203010,5220301010
127,COKG.DE,Cancom SE,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting,IT Services & Consulting (NEC),57,5720,572010,57201010,5720101010
128,LEOGn.DE,Leoni AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Wires & Cables,52,5210,521020,52102030,5210203012
129,ST5G.DE,Steico SE,Basic Materials,Applied Resources,Paper & Forest Products,Forest & Wood Products,Wood Products,51,5130,513010,51301010,5130101015
130,SGCG.DE,SGL Carbon SE,Basic Materials,Mineral Resources,Metals & Mining,Specialty Mining & Metals,Nonferrous Metal Processing,51,5120,512010,51201050,5120105016
131,A4Y.DE,Accentro Real Estate AG,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations",Residential Real Estate Rental & Development,60,6010,601010,60101010,6010101050
132,BBN.S,Bellevue Group AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Investment Management,55,5510,551020,55102020,5510202011
133,SDPN.BN,Sandpiper Digital Payments AG,Technology,Technology Equipment,Office Equipment,Office Equipment,Office Equipment (NEC),57,5710,571050,57105010,5710501010
134,123F.DE,123fahrschule SE,Technology,Software & IT Services,Software & IT Services,Software,Application Software,57,5720,572010,57201020,5720102012
135,M8H0.DE,MBH Corporation PLC,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010
136,BKHTn.DE,Brockhaus Technologies AG,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies (NEC),55,5560,556010,55601010,5560101010
137,EVNV.VI,EVN AG,Utilities,Utilities,Electric Utilities & IPPs,Electric Utilities,Electric Utilities (NEC),59,5910,591010,59101010,5910101010
138,DHLn.DE,Deutsche Post AG,Industrials,Transportation,Freight & Logistics Services,"Courier, Postal, Air Freight & Land-based Logistics","Courier, Postal, Air Freight & Land-based Logistics (NEC)",52,5240,524050,52405010,5240501010
139,SSSG.D,Schulte-Schlagbaum AG,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Supplies,Business Support Supplies (NEC),52,5220,522030,52203060,5220306010
140,UNIQ.VI,Uniqa Insurance Group AG,Financials,Insurance,Insurance,Multiline Insurance & Brokers,Multiline Insurance & Brokers (NEC),55,5530,553010,55301010,5530101010
141,STLN.S,Swiss Steel Holding AG,Basic Materials,Mineral Resources,Metals & Mining,Iron & Steel,"Iron, Steel Mills & Foundries",51,5120,512010,51201020,5120102013
142,4NJ.D,Deutsche Payment A1M SE,Technology,Software & IT Services,Software & IT Services,Online Services,E-commerce & Auction Services,57,5720,572010,57201030,5720103013
143,FTKn.DE,flatexDEGIRO AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Banking & Brokerage Services,Investment Banking & Brokerage Services (NEC),55,5510,551020,55102010,5510201010
144,INRN.S,Interroll Holding AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Electrical Equipment,Elevator & Conveying Equipment,52,5210,521020,52102040,5210204012
145,GGS.DE,Gigaset AG,Technology,Technology Equipment,"Computers, Phones & Household Electronics",Phones & Handheld Devices,Phones & Smart Phones,57,5710,571060,57106020,5710602011
146,SWON.S,Softwareone Holding AG,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting,IT Services & Consulting (NEC),57,5720,572010,57201010,5720101010
147,AOFG.DE,Atoss Software AG,Technology,Software & IT Services,Software & IT Services,Software,Enterprise Software,57,5720,572010,57201020,5720102013
148,CALN.S,Calida Holding AG,Consumer Cyclicals,Cyclical Consumer Products,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),53,5320,532020,53202020,5320202010
149,B7EG.DE,Blue Cap AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Private Equity,55,5510,551020,55102020,5510202016
150,HLEE.S,Highlight Event and Entertainment AG,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Entertainment Production,"Movie, TV Production & Distribution",53,5330,533020,53302030,5330203011
151,EIC.S,Eeii AG,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies (NEC),55,5560,556010,55601010,5560101010
152,AAQ1k.DE,Aap Implantate AG,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution","Medical Equipment, Supplies & Distribution (NEC)",56,5610,561010,56101020,5610102010
153,SY5N.MU,Stern Immobilien AG,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations","Real Estate Rental, Development & Operations (NEC)",60,6010,601010,60101010,6010101010
154,DNIG.BE,DNI Beteiligungen AG,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies (NEC),55,5560,556010,55601010,5560101010
155,ECX1k.DE,Epigenomics AG,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research,Bio Diagnostics & Testing,56,5620,562020,56202010,5620201012
156,SURG.DE,Surteco Group SE,Consumer Cyclicals,Cyclical Consumer Products,Household Goods,Home Furnishings,Home Furnishings (NEC),53,5320,532040,53204040,5320404010
157,R1B.DE,Rubean AG,Technology,Software & IT Services,Software & IT Services,Software,Software (NEC),57,5720,572010,57201020,5720102010
158,IVUG.DE,IVU Traffic Technologies AG,Technology,Software & IT Services,Software & IT Services,Software,Enterprise Software,57,5720,572010,57201020,5720102013
159,HGEA.DE,hGears AG,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts","Auto, Truck & Motorcycle Parts (NEC)",53,5310,531010,53101020,5310102010
160,AB9.DE,ABO Wind AG,Energy,Renewable Energy,Renewable Energy,Renewable Energy Equipment & Services,Wind Systems & Equipment,50,5020,502010,50201010,5020101011
161,P4OG.DE,Plan Optik AG,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Semiconductors (NEC),57,5710,571010,57101010,5710101010
162,ACLN.S,Accelleron Industries AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Machinery & Equipment (NEC),52,5210,521020,52102010,5210201010
163,DKG.DE,Deutsche Konsum REIT-AG,Real Estate,Real Estate,Real Estate Operations,Real Estate Services,Residential Real Estate Services,60,6010,601010,60101020,6010102050
164,UMDk.DE,UMT United Mobility Technology AG,Technology,Software & IT Services,Software & IT Services,Software,Mobile Application Software,57,5720,572010,57201020,5720102014
165,DOCM.S,DocMorris AG,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Drug Retailers,Drug Retailers (NEC),54,5430,543010,54301010,5430101010
166,H9YG.DE,HanseYachts AG,Consumer Cyclicals,Cyclical Consumer Products,Leisure Products,Recreational Products,Sailing Yachts & Motorboats,53,5320,532050,53205020,5320502011
167,ISN.S,Intershop Holding AG,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations","Real Estate Rental, Development & Operations (NEC)",60,6010,601010,60101010,6010101010
168,XLS.S,Xlife Sciences AG,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC),56,5620,562020,56202010,5620201010
169,O2C.F^H23,Petro Welt Technologies AG,Energy,Energy - Fossil Fuels,Oil & Gas Related Equipment and Services,Oil Related Services and Equipment,Oil Related Services,50,5010,501030,50103020,5010302011
170,LHAG.DE,Deutsche Lufthansa AG,Industrials,Transportation,Passenger Transportation Services,Airlines,Airlines (NEC),52,5240,524060,52406010,5240601010
171,LEHN.S,Lem Holding SA,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Electrical Measuring & Testing Instruments,52,5210,521020,52102030,5210203019
172,MBQGn.DE,Mobotix AG,Technology,Technology Equipment,"Computers, Phones & Household Electronics",Computer Hardware,Output Devices,57,5710,571060,57106010,5710601015
173,E66n.MU,Semodu AG,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010
174,EPICN.S,EPIC Suisse AG,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations","Real Estate Rental, Development & Operations (NEC)",60,6010,601010,60101010,6010101010
175,SHVA.DE,Shareholder Value Beteiligungen AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Private Equity,55,5510,551020,55102020,5510202016
176,UN01.DE,Uniper SE,Utilities,Utilities,Multiline Utilities,Multiline Utilities,Multiline Utilities,59,5910,591040,59104010,5910401010
177,88D.MU,WR Wohnraum AG,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations","Real Estate Rental, Development & Operations (NEC)",60,6010,601010,60101010,6010101010
178,SPSN.S,Swiss Prime Site AG,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations","Real Estate Rental, Development & Operations (NEC)",60,6010,601010,60101010,6010101010
179,FKAV.VI,Frauenthal Holding AG,Consumer Non-Cyclicals,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Goods Conglomerates,54,5440,544010,54401010,5440101010
180,NXRG.F,NEXR Technologies SE,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting,IT Services & Consulting (NEC),57,5720,572010,57201010,5720101010
181,PATGn.DE,Patrizia SE,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations","Real Estate Rental, Development & Operations (NEC)",60,6010,601010,60101010,6010101010
182,GIVG.DE,Verianos Se,Real Estate,Real Estate,Real Estate Operations,Real Estate Services,Real Estate Services (NEC),60,6010,601010,60101020,6010102010
183,ODHN.S,Orascom Development Holding AG,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,"Hotels, Motels & Cruise Lines","Hotels, Motels & Cruise Lines (NEC)",53,5330,533010,53301010,5330101010
184,KSBE.BN,Kursaal Bern AG,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Casinos & Gaming,Casinos,53,5330,533010,53301030,5330103013
185,5OZ.D,Vameva Se,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Management Consulting Services,52,5220,522030,52203040,5220304013
186,SOON.S,Sonova Holding AG,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",Medical Prosthetics,56,5610,561010,56101020,5610102012
187,DCN.S,Datacolor AG,Technology,Technology Equipment,"Computers, Phones & Household Electronics",Computer Hardware,Output Devices,57,5710,571060,57106010,5710601015
188,PSAGn.DE,PSI Software SE,Technology,Software & IT Services,Software & IT Services,Software,Software (NEC),57,5720,572010,57201020,5720102010
189,NBHG.MU,Hoftex Group AG,Consumer Cyclicals,Cyclical Consumer Products,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),53,5320,532020,53202010,5320201010
190,AMGOLD.PA,Amundi Physical Metals PLC,Financials,Banking & Investment Services,Banking Services,Corporate Financial Services,Corporate Financial Services (NEC),55,5510,551010,55101050,5510105010
191,A1OS.DE,All for One Group SE,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting,IT Services & Consulting (NEC),57,5720,572010,57201010,5720101010
192,VH2.DE,Friedrich Vorwerk Group SE,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010
193,NA9n.DE,Nagarro SE,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting,IT Services & Consulting (NEC),57,5720,572010,57201010,5720101010
194,GBQG.H,GBK Beteiligungen AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Private Equity,55,5510,551020,55102020,5510202016
195,ETGG.DE,EnviTec Biogas AG,Utilities,Utilities,Electric Utilities & IPPs,Independent Power Producers,Renewable IPPs,59,5910,591010,59101020,5910102012
196,75Sn.DE,Sdm SE,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Security Services,52,5220,522030,52203040,5220304014
197,M7UG.DE,Nynomic AG,Technology,Technology Equipment,Office Equipment,Office Equipment,Scientific & Precision Equipment,57,5710,571050,57105010,5710501014
198,M0YNn.DE,Mynaric AG,Technology,Technology Equipment,Communications & Networking,Communications & Networking,Satellite Communications Network,57,5710,571020,57102010,5710201016
199,STRV.VI,STRABAG SE,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010
200,ADCG.F,AdCapital AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Private Equity,55,5510,551020,55102020,5510202016
201,AEIGn.DE,Allgeier SE,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting,IT Services & Consulting (NEC),57,5720,572010,57201010,5720101010
202,PEHN.S,Private Equity Holding AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Private Equity,55,5510,551020,55102020,5510202016
203,ALVG.DE,Allianz SE,Financials,Insurance,Insurance,Multiline Insurance & Brokers,Multiline Insurance & Brokers (NEC),55,5530,553010,55301010,5530101010
204,TEGG.DE,TAG Immobilien AG,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations",Residential Real Estate Rental & Development,60,6010,601010,60101010,6010101050
205,BRLG.BE,Brilliant AG,Consumer Cyclicals,Cyclical Consumer Products,Homebuilding & Construction Supplies,Construction Supplies & Fixtures,Lighting Fixtures,53,5320,532030,53203020,5320302019
206,LONN.S,Lonza Group AG,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC),56,5620,562020,56202010,5620201010
207,LLQ.S,Lalique Group SA,Consumer Cyclicals,Retailers,Specialty Retailers,Home Furnishings Retailers,Art & Craftwork Retailers,53,5340,534030,53403030,5340303016
208,EVTG.DE,Evotec SE,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research (NEC),56,5620,562020,56202010,5620201010
209,ADLG.DE,Adler Real Estate AG,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations",Residential Real Estate Rental & Development,60,6010,601010,60101010,6010101050
210,ADE.DE,Bitcoin Group SE,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Venture Capital,55,5510,551020,55102020,5510202015
211,VAHN.S,Vaudoise Assurances Holding SA,Financials,Insurance,Insurance,Property & Casualty Insurance,Property & Casualty Insurance (NEC),55,5530,553010,55301020,5530102010
212,KURN.S,Kuros Biosciences AG,Healthcare,Pharmaceuticals & Medical Research,Biotechnology & Medical Research,Biotechnology & Medical Research,Bio Therapeutic Drugs,56,5620,562020,56202010,5620201011
213,DARG.DE,Datron AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Machinery & Equipment (NEC),52,5210,521020,52102010,5210201010
214,HACGn.DE,KPS AG,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting,IT Services & Consulting (NEC),57,5720,572010,57201010,5720101010
215,ADNGk.DE,adesso SE,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting,IT Services & Consulting (NEC),57,5720,572010,57201010,5720101010
216,CDZ0.MU,MHP Hotel AG,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,"Hotels, Motels & Cruise Lines",Luxury Hotels,53,5330,533010,53301010,5330101013
217,IMPN.S,Implenia AG,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Construction & Engineering (NEC),52,5220,522010,52201020,5220102010
218,PSPN.S,PSP Swiss Property AG,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations","Real Estate Rental, Development & Operations (NEC)",60,6010,601010,60101010,6010101010
219,RBIV.VI,Raiffeisen Bank International AG,Financials,Banking & Investment Services,Banking Services,Banks,Banks (NEC),55,5510,551010,55101010,5510101010
220,TELA.VI,Telekom Austria AG,Technology,Telecommunications Services,Telecommunications Services,Integrated Telecommunications Services,Integrated Telecommunications Services (NEC),57,5740,574010,57401010,5740101010
221,SFQ.DE,Saf-Holland Se,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,"Auto, Truck & Motorcycle Parts",Automotive Body Parts,53,5310,531010,53101020,5310102011
222,VTWRn.H,Vantage Towers AG,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Telecommunication Construction,52,5220,522010,52201020,5220102023
223,SWAG.DE,Schloss Wachenheim AG,Consumer Non-Cyclicals,Food & Beverages,Beverages,Distillers & Wineries,Wineries,54,5410,541010,54101020,5410102011
224,SIGNC.S,SIG Group AG,Basic Materials,Applied Resources,Containers & Packaging,Paper Packaging,Paper Packaging (NEC),51,5130,513020,51302020,5130202010
225,SAHN.S,Schaffner Holding AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Electrical Components,52,5210,521020,52102030,5210203013
226,VNAn.DE,Vonovia SE,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations",Residential Real Estate Rental & Development,60,6010,601010,60101010,6010101050
227,NWOn.DE,New Work SE,Technology,Software & IT Services,Software & IT Services,Online Services,Social Media & Networking,57,5720,572010,57201030,5720103012
228,IREN.S,Investis Holding SA,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations",Residential Real Estate Rental & Development,60,6010,601010,60101010,6010101050
229,BSLG.DE,Basler AG,Technology,Technology Equipment,Office Equipment,Office Equipment,Scientific & Precision Equipment,57,5710,571050,57105010,5710501014
230,AIR.PA,Airbus SE,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Commercial Aircraft Manufacturing,52,5210,521010,52101010,5210101012
231,STMN.S,Straumann Holding AG,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution",Medical Prosthetics,56,5610,561010,56101020,5610102012
232,STRN.S,Schlatter Industries AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Machinery & Equipment (NEC),52,5210,521020,52102010,5210201010
233,GKSG.H,GK Software SE,Technology,Software & IT Services,Software & IT Services,Software,Enterprise Software,57,5720,572010,57201020,5720102013
234,LRND.DE,Learnd SE,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies,Shell Companies,55,5560,556010,55601010,5560101011
235,SD1n.F,Clean Logistics SE,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,Auto & Truck Manufacturers,Automobiles & Multi Utility Vehicles,53,5310,531010,53101010,5310101012
236,SLSAn.DE,Solutiance AG,Technology,Software & IT Services,Software & IT Services,Software,Enterprise Software,57,5720,572010,57201020,5720102013
237,RATV.VI,Rath AG,Basic Materials,Mineral Resources,Construction Materials,Construction Materials,Construction Materials (NEC),51,5120,512020,51202010,5120201010
238,FF24.DE,Fast Finance 24 Holding AG,Financials,Banking & Investment Services,Banking Services,Consumer Lending,Microfinancing,55,5510,551010,55101030,5510103015
239,GEBN.S,Geberit AG,Consumer Cyclicals,Cyclical Consumer Products,Homebuilding & Construction Supplies,Construction Supplies & Fixtures,Plumbing Fixtures & Fittings,53,5320,532030,53203020,5320302015
240,ALSN.S,Also Holding AG,Technology,Technology Equipment,"Computers, Phones & Household Electronics",Computer Hardware,Computer Hardware (NEC),57,5710,571060,57106010,5710601010
241,VBKG.DE,Verbio Vereinigte Bioenergie AG,Energy,Renewable Energy,Renewable Energy,Renewable Fuels,Biodiesel,50,5020,502010,50201020,5020102011
242,EXCL.DE,exceet Group SCA,Technology,Technology Equipment,Electronic Equipment & Parts,Electronic Equipment & Parts,Electronic Components,57,5710,571040,57104010,5710401014
243,AQP1.D,Action Press AG,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Advertising & Marketing,Advertising & Marketing (NEC),53,5330,533020,53302010,5330201010
244,KTAG.DE,Knaus Tabbert AG,Consumer Cyclicals,Cyclical Consumer Products,Leisure Products,Recreational Products,Recreational Products (NEC),53,5320,532050,53205020,5320502010
245,BIOG_p.DE,Biotest AG,Healthcare,Pharmaceuticals & Medical Research,Pharmaceuticals,Pharmaceuticals,Biopharmaceuticals,56,5620,562010,56201040,5620104012
246,VAR1.DE,Varta AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Batteries & Uninterruptable Power Supplies,52,5210,521020,52102030,5210203011
247,MBBG.DE,MBB SE,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Business Support Services,Business Support Services (NEC),52,5220,522030,52203040,5220304010
248,NN6G.DE,NanoRepro AG,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,Medical Diagnostic & Testing Equipment,56,5610,561010,56101010,5610101011
249,DEZG.DE,DEUTZ AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,Construction Machinery,52,5210,521020,52102020,5210202011
250,BUCN.S,Bucher Industries AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,Agricultural Machinery,52,5210,521020,52102020,5210202015
251,HDDG.DE,Heidelberger Druckmaschinen AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Machinery,52,5210,521020,52102010,5210201012
252,IXXG.DE,init innovation in traffic systems SE,Technology,Software & IT Services,Software & IT Services,Software,Enterprise Software,57,5720,572010,57201020,5720102013
253,DR0G.DE,Deutsche Rohstoff AG,Basic Materials,Mineral Resources,Metals & Mining,Diversified Mining,Diversified Mining,51,5120,512010,51201080,5120108010
254,IFCN.S,Inficon Holding AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Testing & Measuring Equipment,52,5210,521020,52102010,5210201014
255,V3VGn.DE,Vita 34 AG,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services,Healthcare Facilities & Services (NEC),56,5610,561020,56102010,5610201010
256,BLKB.S,Basellandschaftliche Kantonalbank,Financials,Banking & Investment Services,Banking Services,Banks,Banks (NEC),55,5510,551010,55101010,5510101010
257,KARN.S,Kardex Holding AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Electrical Equipment,Elevator & Conveying Equipment,52,5210,521020,52102040,5210204012
258,JUNG_p.DE,Jungheinrich AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Heavy Machinery & Vehicles,Heavy Trucks,52,5210,521020,52102020,5210202012
