,Instrument,Company Common Name,TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,TRBC Economic Sector Code,TRBC Business Sector Code,TRBC Industry Group Code,TRBC Industry Code,TRBC Activity Code
425,ISH1k.DE,INTERSHOP Communications AG,Technology,Software & IT Services,Software & IT Services,Software,Enterprise Software,57,5720,572010,57201020,5720102013
426,KSWG.F,KST Beteiligungs AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Private Equity,55,5510,551020,55102020,5510202016
427,RCMN.DE,RCM Beteiligungs AG,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations",Residential Real Estate Rental & Development,60,6010,601010,60101010,6010101050
428,VIAAY.PK,Flughafen Wien AG,Industrials,Transportation,Transport Infrastructure,Airport Operators & Services,Airport Operators,52,5240,524070,52407010,5240701011
429,PSHG_p.DE,Porsche Automobil Holding SE,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,Auto & Truck Manufacturers,Auto & Truck Manufacturers (NEC),53,5310,531010,53101010,5310101010
430,VEZ.DE,Veganz Group AG,Consumer Non-Cyclicals,Food & Beverages,Food & Tobacco,Food Processing,Vegan & Vegetarian Food Manufacturing,54,5410,541020,54102020,5410202032
431,NMIG.D,Aladdin Healthcare Technologies SE,Healthcare,Healthcare Services & Equipment,Healthcare Providers & Services,Healthcare Facilities & Services,Healthcare Facilities & Services (NEC),56,5610,561020,56102010,5610201010
432,KWGG.DE,KHD Humboldt Wedag International AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Machinery & Equipment (NEC),52,5210,521020,52102010,5210201010
433,RORG.D,SunMirror AG,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies (NEC),55,5560,556010,55601010,5560101010
434,M5ZG.DE,Manz AG,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment & Testing,Semiconductor Machinery Manufacturing,57,5710,571010,57101020,5710102011
435,A7K.D,Hbi-Hyperion Se,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies (NEC),55,5560,556010,55601010,5560101010
436,PNHO.S^F22,Poenina Holding AG,Industrials,Industrial & Commercial Services,Construction & Engineering,Construction & Engineering,Building Contractors,52,5220,522010,52201020,5220102016
