Instrument,Company_Common_Name,TRBC_Economic_Sector_Name,TRBC_Business_Sector_Name,TRBC_Industry_Group_Name,TRBC_Industry_Name,TRBC_Activity_Name,TRBC_Economic_Sector_Code,TRBC_Business_Sector_Code,TRBC_Industry_Group_Code,TRBC_Industry_Code,TRBC_Activity_Code
BVZN.S,BVZ Holding AG,Industrials,Transportation,Passenger Transportation Services,"Passenger Transportation, Ground & Sea",Commuting Services,52,5240,524060,52406020,5240602011
EIC.S,Eeii AG,Financials,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies,Investment Holding Companies (NEC),55,5560,556010,55601010,5560101010
ACLN.S,Accelleron Industries AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Industrial Machinery & Equipment (NEC),52,5210,521020,52102010,5210201010
SB1G.DE,Smartbroker Holding AG,Technology,Software & IT Services,Software & IT Services,Online Services,Online Services (NEC),57,5720,572010,57201030,5720103010
SE3G.H,Smart Equity AG,Technology,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech),Financial Technology (Fintech) (NEC),57,5730,573010,57301010,5730101010
NIIGn.DE,Niiio Finance Group AG,Technology,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech),Financial Technology (Fintech) (NEC),57,5730,573010,57301010,5730101010
VG8G.DE,Varengold Bank AG,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Banking & Brokerage Services,Investment Banking & Brokerage Services (NEC),55,5510,551020,55102010,5510201010
HELN.S,Helvetia Holding AG,Financials,Insurance,Insurance,Multiline Insurance & Brokers,Multiline Insurance & Brokers (NEC),55,5530,553010,55301010,5530101010
991.MU,Vitruvia Medical AG,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,Medical Software & Technology Services,56,5610,561010,56101010,5610101015
EQSn.DE,EQS Group AG,Technology,Software & IT Services,Software & IT Services,Software,Software (NEC),57,5720,572010,57201020,5720102010
M14K.MU,Securize IT Solutions AG,Technology,Software & IT Services,Software & IT Services,IT Services & Consulting,Computer Programming,57,5720,572010,57201010,5720101011
RCMN.DE,RCM Beteiligungs AG,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations",Residential Real Estate Rental & Development,60,6010,601010,60101010,6010101050
MOBN.S,Mobimo Holding AG,Real Estate,Real Estate,Real Estate Operations,"Real Estate Rental, Development & Operations","Real Estate Rental, Development & Operations (NEC)",60,6010,601010,60101010,6010101010
BNNn.DE,BRAIN Biotech AG,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,Environmental R&D Services & Biotechnology,52,5220,522030,52203010,5220301014
HNRGn.DE,Hannover Rueck SE,Financials,Insurance,Insurance,Reinsurance,Property & Casualty Reinsurance,55,5530,553010,55301050,5530105012
PSHG_p.DE,Porsche Automobil Holding SE,Consumer Cyclicals,Automobiles & Auto Parts,Automobiles & Auto Parts,Auto & Truck Manufacturers,Auto & Truck Manufacturers (NEC),53,5310,531010,53101010,5310101010
MOVE.S,Medacta Group SA,Healthcare,Healthcare Services & Equipment,Healthcare Equipment & Supplies,"Medical Equipment, Supplies & Distribution","Medical Equipment, Supplies & Distribution (NEC)",56,5610,561010,56101020,5610102010
NB2.DE,Northern Data AG,Technology,Software & IT Services,Software & IT Services,Software,Application Software,57,5720,572010,57201020,5720102012
PV.DE,Pfeiffer Vacuum Technology AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Air & Gas Compressors,52,5210,521020,52102010,5210201016
BYS.S,Bystronic AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Machinery & Equipment,Machine Tools,52,5210,521020,52102010,5210201022
SAHN.S,Schaffner Holding AG,Industrials,Industrial Goods,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,Electrical Components,52,5210,521020,52102030,5210203013
FACC.VI,FACC AG,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,Aircraft Parts Manufacturing,52,5210,521010,52101010,5210101014
ELGG.DE,Elmos Semiconductor SE,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,Semiconductors (NEC),57,5710,571010,57101010,5710101010
KSBE.BN,Kursaal Bern AG,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Casinos & Gaming,Casinos,53,5330,533010,53301030,5330103013
DOCM.S,DocMorris AG,Consumer Non-Cyclicals,Food & Drug Retailing,Food & Drug Retailing,Drug Retailers,Drug Retailers (NEC),54,5430,543010,54301010,5430101010
BRLG.BE,Brilliant AG,Consumer Cyclicals,Cyclical Consumer Products,Homebuilding & Construction Supplies,Construction Supplies & Fixtures,Lighting Fixtures,53,5320,532030,53203020,5320302019
ADE.DE,Bitcoin Group SE,Financials,Banking & Investment Services,Investment Banking & Investment Services,Investment Management & Fund Operators,Venture Capital,55,5510,551020,55102020,5510202015
